Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.2,5202702598,1151,4520158.6,22072.0,4567,323609360,16079143.8,cudaMemcpyAsync
39.6,3733154441,388507,9609.0,7530.0,5234,73374796,200266.8,cudaLaunchKernel
2.8,266016289,1150,231318.5,14131.5,4634,192141125,5665373.8,cudaStreamSynchronize
0.9,88198412,362,243642.0,231547.0,5688,536951,51193.0,cudaMalloc
0.8,73973627,15,4931575.1,4937027.0,107663,8629673,2857483.7,cuLibraryLoadData
0.3,28360095,2880,9847.3,9460.0,8241,33589,2053.0,cuLaunchKernel
0.2,18564091,2880,6445.9,1759.5,1258,6698146,175495.2,cuKernelGetFunction
0.1,9940903,929,10700.6,9994.0,6135,37369,4110.2,cudaMemsetAsync
0.0,3173521,1929,1645.2,1544.0,578,17468,859.4,cudaStreamIsCapturing_v10000
0.0,2809991,1,2809991.0,2809991.0,2809991,2809991,0.0,cudaFree
0.0,1626724,1,1626724.0,1626724.0,1626724,1626724,0.0,cudaGetDeviceProperties_v12000
0.0,1141108,2,570554.0,570554.0,25486,1115622,770842.6,cudaHostAlloc
0.0,748766,130,5759.7,3233.0,2310,55311,5892.1,cudaEventRecordWithFlags_v11010
0.0,447216,148,3021.7,1588.5,553,24004,2931.2,cudaEventCreateWithFlags
0.0,329590,258,1277.5,1248.0,1120,3498,156.6,cudaEventQuery
0.0,228855,838,273.1,232.0,163,6801,252.2,cuGetProcAddress_v2
0.0,123992,130,953.8,910.0,731,2732,204.5,cudaEventDestroy
0.0,76072,16,4754.5,5679.5,614,7725,2556.4,cuLibraryGetKernel
0.0,25532,2,12766.0,12766.0,11714,13818,1487.8,cudaDeviceSynchronize
0.0,19418,3,6472.7,235.0,195,18988,10838.6,cuModuleGetLoadingMode
0.0,11351,4,2837.8,2951.5,2188,3260,457.6,cuInit
0.0,2636,2,1318.0,1318.0,608,2028,1004.1,cudaGetDriverEntryPoint_v11030

