Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py](nvtx-name:base)... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
9.9,421524567,1440,292725.4,297408.0,234559,300544,16080.4,spec_target_verify/fmha_cutlassF_bf16_aligned_64x128_rf_sm80
8.2,349425565,28968,12062.5,4736.0,2656,82752,22365.3,spec_target_verify/elementwise_kernel
7.8,330347666,22120,14934.3,12991.0,6720,33984,8664.9,spec_draft_propose/kernel
6.6,282935725,108072,2618.0,2592.0,1792,4096,278.0,spec_draft_propose/vectorized_elementwise_kernel
6.1,261327269,8848,29535.2,29664.0,26560,32320,917.3,spec_draft_propose/ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x6_tn
6.1,258009271,2920,88359.3,77632.0,74144,869693,91229.4,spec_target_verify/ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
5.2,223411550,9006,24807.0,25696.0,3328,26496,3255.4,spec_draft_propose/CatArrayBatchedCopy_alignedK_contig
5.1,218608795,53246,4105.6,4224.0,2720,5184,541.3,spec_draft_propose/elementwise_kernel
4.9,210423639,4320,48709.2,31648.0,28640,86496,24690.9,spec_target_verify/ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4.6,196900479,217,907375.5,519647.0,207103,17810419,1315853.1,spec_target_prefill/ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
3.6,154411825,5800,26622.7,7680.0,3680,49824,19706.1,spec_target_verify/CatArrayBatchedCopy
2.4,103508453,18170,5696.7,5696.0,4160,15520,938.5,spec_draft_propose/reduce_kernel
2.3,96868276,18170,5331.2,5408.0,2368,6048,450.4,spec_draft_propose/unrolled_elementwise_kernel
2.2,92726329,33528,2765.6,2688.0,1696,4576,371.7,spec_target_verify/vectorized_elementwise_kernel
2.2,92301083,4424,20863.7,21280.0,15680,22272,1428.0,spec_draft_propose/flash_fwd_splitkv_kernel
1.6,69435413,158,439464.6,439983.0,430655,443423,2359.0,spec_draft_propose/ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1.5,62401156,197,316757.1,167999.0,110176,9429864,670221.0,spec_draft_prefill/ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
1.4,61115629,8848,6907.3,6496.0,4960,7872,705.8,spec_draft_propose/CatArrayBatchedCopy
1.4,58858601,36,1634961.1,1489948.0,1485500,1891483,194027.2,spec_target_prefill/ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
