Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/nvtx_kern_sum.py](base)... 
NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,644708,644708,0,1,6944,6944.0,6944.0,6944,6944,0.0,reduce_kernel
:spec_draft_corrective,PushPop,644708,644708,10,1120,27871704,24885.5,21792.0,5024,48543,18586.7,CatArrayBatchedCopy
:spec_draft_corrective,PushPop,644708,644708,10,1400,20317141,14512.2,12512.0,6784,33344,8523.5,kernel
:spec_draft_corrective,PushPop,644708,644708,10,6830,17022969,2492.4,2528.0,1824,4064,341.2,vectorized_elementwise_kernel
:spec_draft_corrective,PushPop,644708,644708,10,560,16426042,29332.2,29375.5,26304,31584,1083.9,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x6_tn
:spec_draft_corrective,PushPop,644708,644708,10,3370,13145563,3900.8,3776.0,2720,5088,607.0,elementwise_kernel
:spec_draft_corrective,PushPop,644708,644708,10,1140,6098482,5349.5,5696.0,4256,7104,579.0,reduce_kernel
:spec_draft_corrective,PushPop,644708,644708,10,1150,5886678,5118.9,5312.0,2464,7104,610.4,unrolled_elementwise_kernel
:spec_draft_corrective,PushPop,644708,644708,10,280,5457974,19492.8,20672.0,15776,21792,2159.6,flash_fwd_splitkv_kernel
:spec_draft_corrective,PushPop,644708,644708,10,10,4380179,438017.9,439566.5,431935,441983,3883.5,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
:spec_draft_corrective,PushPop,644708,644708,10,280,2827704,10098.9,10688.0,8160,11328,1154.2,flash_fwd_splitkv_combine_kernel
:spec_draft_corrective,PushPop,644708,644708,10,10,52416,5241.6,5472.0,4480,5696,499.6,indexSelectSmallIndex
:spec_draft_corrective,PushPop,644708,644708,10,10,39936,3993.6,4176.0,3328,4352,416.6,CatArrayBatchedCopy_alignedK_contig
:spec_draft_corrective,PushPop,644708,644708,10,10,28672,2867.2,3008.0,2272,3168,325.0,gemmk1_kernel
:spec_draft_corrective,PushPop,644708,644708,10,10,25440,2544.0,2656.0,2048,2944,278.7,elementwise_kernel_with_index
:spec_draft_prefill,PushPop,644708,644708,1,197,62401156,316757.1,167999.0,110176,9429864,670221.0,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
:spec_draft_prefill,PushPop,644708,644708,1,570,15614259,27393.4,15744.0,1984,108320,28069.5,vectorized_elementwise_kernel
:spec_draft_prefill,PushPop,644708,644708,1,450,15287510,33972.2,40336.0,9248,51360,13320.4,elementwise_kernel
:spec_draft_prefill,PushPop,644708,644708,1,28,13069824,466779.4,462783.0,445823,519871,16754.5,flash_fwd_kernel
:spec_draft_prefill,PushPop,644708,644708,1,113,4937624,43695.8,38176.0,9088,68768,13334.4,CatArrayBatchedCopy
:spec_draft_prefill,PushPop,644708,644708,1,115,4793940,41686.4,49120.0,4064,50144,13054.1,unrolled_elementwise_kernel
:spec_draft_prefill,PushPop,644708,644708,1,114,3466200,30405.3,32320.0,5120,41344,9043.7,reduce_kernel
:spec_draft_prefill,PushPop,644708,644708,1,1,12512,12512.0,12512.0,12512,12512,0.0,vectorized_gather_kernel
:spec_draft_prefill,PushPop,644708,644708,1,1,4640,4640.0,4640.0,4640,4640,0.0,ampere_sgemm_128x32_nn
:spec_draft_prefill,PushPop,644708,644708,1,1,1984,1984.0,1984.0,1984,1984,0.0,elementwise_kernel_with_index
:spec_draft_propose,PushPop,644708,644708,40,22120,330347666,14934.3,12991.0,6720,33984,8664.9,kernel
:spec_draft_propose,PushPop,644708,644708,40,108072,282935725,2618.0,2592.0,1792,4096,278.0,vectorized_elementwise_kernel
:spec_draft_propose,PushPop,644708,644708,40,8848,261327269,29535.2,29664.0,26560,32320,917.3,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x6_tn
:spec_draft_propose,PushPop,644708,644708,40,9006,223411550,24807.0,25696.0,3328,26496,3255.4,CatArrayBatchedCopy_alignedK_contig
:spec_draft_propose,PushPop,644708,644708,40,53246,218608795,4105.6,4224.0,2720,5184,541.3,elementwise_kernel
