Generating SQLite file results/profiling_speculative_qwen3_1p7b_k4/nsys_trtllm_native_spec_qwen3_1p7b_k4_p4096_g128.sqlite from results/profiling_speculative_qwen3_1p7b_k4/nsys_trtllm_native_spec_qwen3_1p7b_k4_p4096_g128.nsys-rep
Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_trtllm_native_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
86.0,66448801952,2094,31732952.2,23790.0,2897,351893643,50141484.4,cudaMemcpyAsync
10.5,8130467527,8562,949599.1,11733.0,1493,323311705,10424683.4,cudaLaunchKernel
1.2,920666309,1009,912454.2,47626.0,2306,142266360,8676278.6,cudaStreamSynchronize
1.0,754626866,276,2734155.3,173545.0,5512,324385981,21149468.8,cudaMalloc
0.4,337935725,17,19878572.1,52426.0,3399,262089836,62929708.6,cudaDeviceSynchronize
0.3,256312808,36,7119800.2,9199.0,8397,255971419,42660277.5,cudaEventSynchronize
0.2,124293069,16,7768316.8,2893886.0,71869,82674405,20135432.0,cuLibraryLoadData
0.1,82206478,3579,22969.1,12804.0,2627,38339126,640684.0,cudaLaunchKernelExC_v11060
0.1,63906411,252,253596.9,102915.0,3033,11140154,866350.2,cudaFree
0.0,20748690,66,314374.1,280477.0,124409,1419735,241161.4,cudaGraphLaunch_v10000
0.0,19222580,36,533960.6,1491.0,1365,19169569,3194675.7,cuKernelGetFunction
0.0,18256786,1936,9430.2,8736.5,1872,70443,5385.6,cuLaunchKernelEx
0.0,16082911,4,4020727.8,3666965.5,1339150,7409830,2621161.9,cudaGraphInstantiateWithFlags_v11040
0.0,15629457,529,29545.3,3623.0,1252,13598822,591092.4,cudaEventRecordWithFlags_v11010
0.0,5258128,4,1314532.0,1241505.5,743868,2031249,662129.8,cudaGraphExecDestroy_v10000
0.0,5089765,264,19279.4,2888.5,2254,571530,67541.7,cudaStreamCreateWithPriority
0.0,3629325,1977,1835.8,1827.0,545,23685,899.6,cudaStreamGetCaptureInfo_v2_v11030
0.0,3148045,96,32792.1,30957.5,8845,82921,13693.3,cudaMemGetInfo
0.0,2782075,563,4941.5,3082.0,1308,26564,3145.4,cudaEventQuery
0.0,2677181,2,1338590.5,1338590.5,1005116,1672065,471604.2,cudaGetDeviceProperties_v12000
0.0,1711839,34,50348.2,13808.5,7681,1155357,195531.0,cudaHostAlloc
0.0,1648903,4,412225.8,405859.0,1047,836138,474878.8,cuLibraryGetGlobal
0.0,1642835,4,410708.8,411896.0,179026,640017,255165.6,cudaGraphDestroy_v10000
0.0,1552646,800,1940.8,1385.5,557,20607,1864.0,cudaStreamIsCapturing_v10000
0.0,1381665,2028,681.3,725.0,172,21963,617.0,cuKernelGetName
0.0,1265240,2,632620.0,632620.0,591028,674212,58820.0,cuLibraryUnload
0.0,1262516,4486,281.4,236.0,160,11634,366.8,cuGetProcAddress_v2
0.0,1252896,100,12529.0,11899.0,2058,27428,4493.9,cudaMemsetAsync
0.0,741828,64,11591.1,10921.0,9031,26396,2610.3,cudaMemset
0.0,607298,4,151824.5,154623.0,36889,261163,101271.6,cudaStreamEndCapture_v10000
0.0,437431,36,12150.9,11687.0,10925,18963,1598.0,cuLaunchKernel
0.0,370045,108,3426.3,1503.0,510,85355,8637.6,cudaEventCreateWithFlags
0.0,204151,2,102075.5,102075.5,98247,105904,5414.3,cuKernelSetAttribute
0.0,186327,4,46581.8,44048.5,18865,79365,25982.1,cudaMemcpy
0.0,168797,1,168797.0,168797.0,168797,168797,0.0,cudaMemPoolCreate_v11020
0.0,123652,8,15456.5,5428.5,4710,41376,15514.1,cudaStreamDestroy
0.0,114415,58,1972.7,1976.5,473,15424,2061.3,cudaEventDestroy
0.0,108873,1,108873.0,108873.0,108873,108873,0.0,cuModuleLoadData
0.0,87490,18,4860.6,5423.0,536,16699,3873.5,cuLibraryGetKernel
0.0,73060,4,18265.0,15627.5,14500,27305,6071.6,cudaStreamBeginCapture_v10000
0.0,49540,15,3302.7,3432.0,1635,6794,1243.4,cuInit
0.0,29674,4,7418.5,7393.0,4794,10094,2989.4,cudaGraphGetNodes_v10000
0.0,20638,12,1719.8,1661.5,928,3039,535.3,cudaThreadExchangeStreamCaptureMode_v10010
0.0,18937,10,1893.7,256.5,155,12281,3915.6,cuModuleGetLoadingMode
0.0,17249,1,17249.0,17249.0,17249,17249,0.0,cudaMemPoolDestroy_v11020
0.0,13147,6,2191.2,2052.5,489,4164,1282.6,cudaMemPoolTrimTo_v11020
0.0,3222,3,1074.0,687.0,544,1991,797.4,cudaGetDriverEntryPointByVersion_v12050
0.0,2690,2,1345.0,1345.0,487,2203,1213.4,cudaGetDriverEntryPoint_v11030
0.0,2343,1,2343.0,2343.0,2343,2343,0.0,cudaMemPoolSetAttribute_v11020

