Generating SQLite file results/profiling_speculative_qwen3_1p7b_k4/nsys_trtllm_native_spec_qwen3_1p7b_k4_p4096_g128.sqlite from results/profiling_speculative_qwen3_1p7b_k4/nsys_trtllm_native_spec_qwen3_1p7b_k4_p4096_g128.nsys-rep
Processing [results/profiling_speculative_qwen3_1p7b_k4/nsys_trtllm_native_spec_qwen3_1p7b_k4_p4096_g128.sqlite] with [/opt/nvidia/nsight-systems/2025.6.3/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
52.2,821462614,549,1496288.9,816350.0,165632,19827759,1949654.3,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
14.5,227774694,316,720806.0,661854.5,162816,1609532,546271.2,fmha_v2_flash_attention_bf16_64_128_S_q_paged_kv_128_causal_sm80_kernel_nl_tiled
14.3,225503912,144,1565999.4,1515756.5,1467805,1890268,148256.8,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
2.3,36561705,884,41359.4,2496.0,2304,225504,81281.2,silu_and_mul_kernel
2.2,35033778,1768,19815.5,3840.0,3488,97888,33578.1,"void flashinfer::norm::FusedAddRMSNormKernel<(unsigned int)8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)"
1.9,29272174,892,32816.3,17696.0,16704,83712,24783.8,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1.6,25409509,884,28743.8,3520.0,3360,173568,52616.0,"void tensorrt_llm::kernels::fusedQKNormRopeKernel<(int)128, (bool)0>(__nv_bfloat16 *, int, int, int, float, const __nv_bfloat16 *, const __nv_bfloat16 *, float, const int *, int, float, float, float, float)"
1.5,22943377,532,43126.6,42336.0,41216,55263,3030.8,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn
1.4,22649518,532,42574.3,42320.0,39360,51616,2176.5,kernel_mha
1.4,21572234,1064,20274.7,22719.5,10656,30688,8608.4,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
1.4,21458603,144,149018.1,149039.5,146047,152416,1245.3,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
1.2,18469743,168,109938.9,40864.0,39808,861822,181506.5,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
